Headline,Publication,Date
Editorial Exchange: Jagmeet Singh's troubling dodges;Editorial Exchange: Jagmeet Singh's troubling dodges,"Canadian Press, NATIONAL, 666 words",3/19/18
NDP leader Jagmeet Singh backs down from decision to punish MP after outcry from caucus;David Christopherson was removed as vice-chair of House procedure committee for breaking ranks with the party,"Breaking News from globeandmail.com, OTHER, 902 words",3/28/18
Singh backs down from punishing MP;Christopherson reinstated as vice-chair of House procedure committee after other NDP members cry foul,"The Globe and Mail (Canada), NEWS; Pg. A3, 684 words",3/28/18
Committee on Children,"CE Noticias Financieras English, 291 words",4/6/18
Segob calls to avoid division,"CE Noticias Financieras English, 483 words",5/14/18
"Guns don't kill presidents, Democrats do.","Newstex BlogsWestern Free Press( Arizona), 1973 words",5/19/18
9 Minutes of Terror,"Washingtonian, ; Pg. 60-67, 179-183, 6152 words",6/1/18
"Despite all the warnings, we are normalising Donald Trump;The president visits the UK in July - it's vital to make clear we have clear moral lines and he has crossed them many times","The Guardian(London), OPINION; Version:1, 1082 words",6/8/18
"Representative Maxine Waters Rallies Mob, Demands Political Violence Against Trump Administration","The Conservative Treehouse, 120 words",6/25/18
"GOP's New 'Unhinged' Ad Features Kathy Griffin, Samantha Bee, Fires, Chaos, And Of Course, Maxine Waters","Mediaite, 262 words",6/27/18
California Democrat Arrested For Death Threats Toward FCC Chairman Ajit Pai and His Family,"iOTWreport, 215 words",6/30/18
California Democrat Arrested For Death Threats Toward FCC Chairman Ajit Pai and His Family,"The Conservative Treehouse, 430 words",6/30/18
"It's hard to please both southern voters and the IRA;Mary Lou McDonald has a tough time while she rides two such incompatible horses, writes Ruth Dudley Edwards","Sunday Independent, NEWS; Pg. 23, 732 words",7/1/18
"A Maxine Waters Terrorist arrested for death threats against R-NY Congressman, staff","iOTWreport, 113 words",7/7/18
More of Maxine's People - Another Democrat Arrested For Death Threats Against Republican Congressman,"The Conservative Treehouse, 468 words",7/7/18
Lighting a fuse in Northern Ireland,"Gulf News (United Arab Emirates), 898 words",7/19/18
Maxine Waters Terror Activist Arrested With Guns and Extensive Bomb-making Material,"iOTWreport, 267 words",7/19/18
Mad Maxine Follower: South Dakota Police/FBI Arrest Antifa Activist With Guns and Extensive Bomb-making Material,"The Conservative Treehouse, 729 words",7/19/18
Activists Fear Far-Right Rally In Portland Could Be Most Violent Since Charlottesville,"The Huffington Post, 1854 words",8/3/18
Democrat Bully Tactics Are Getting Out of Control,"Moonbattery, 915 words",9/12/18
"Political Violence, Alive and Well in 2018 ~ VIDEO","AmmoLand.com, 501 words",10/3/18
Kennedy Clashes With Dem Strategist Over Whether Democrats Are Responsible for Political Violence,"Mediaite, 245 words",10/5/18
Trump decries 'political violence' after years of stoking it,"Politico.com, POLITICOPICKS, 1511 words",10/12/18
Unhinged Man Assaults Fareed Campaign Canvasser,"Targeted News Service, 370 words",10/12/18
Pro-Trump Gang Seen In Footage Assaulting Anti-Fascist Protesters In Manhattan,"The Huffington Post, 1255 words",10/13/18
Violent Political Clashes On Both Coast Over The Weekend ~ VIDEOS,"AmmoLand.com, 1127 words",10/15/18
"U.S. political violence goes coast to coast as Proud Boys and antifa activists clash in New York, Portland","Postmedia Breaking News, WORLD, 1138 words",10/15/18
Fascism in America is a product of the left like it was in Germany,"Prairie Pundit, 122 words",10/15/18
Sean Hannity Said He 'Never Heard Of' Proud Boys But Had Member On His Show In 2017,"The Huffington Post, 648 words",10/16/18
Fox Friends Guest: The Democratic Party is a 'Full-Blown Socialist Party' That 'Endorses Antifa',"Mediaite, 558 words",10/19/18
GOP Leader Appears With Far-Right 'Proud Boys' Street Gang in 'Attack' on Democratic Campaign Office,"Law and Crime, 1167 words",10/20/18
Political Violence - 'Collateral Damage' Courtesy of The Democrat Mob,"The Conservative Treehouse, 87 words",10/20/18
Stop The Left's Violent Attacks Against Republicans [VIDEO],"iOTWreport, 42 words",10/21/18
GOP Leader Appears With Far-Right 'Proud Boys' Street Gang in 'Attack' on Democratic Campaign Office,"LawZ, 794 words",10/22/18
"Explosive devices sent to Clintons, Obama and CNN offices"," FT.com, 1503 words",10/24/18
Trump says political violence 'has no place' in US,"Agence France Presse -- English, 105 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN","Associated Press International, WASHINGTON DATELINE, 1024 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN","Associated Press State & Local, STATE AND REGIONAL, 1024 words",10/24/18
The Atlantic Politics & Policy Daily: Threats by Mail,"Atlantic Online, 626 words",10/24/18
"Trump condemns series of attempted attacks on Democrats, CNN;Trump condemns series of attempted attacks on Democrats, CNN","Canadian Press, INTERNATIONAL, 1023 words",10/24/18
Trump decries violence but calls on media to end 'hostility';Trump decries violence but calls on media to end 'hostility',"Canadian Press, INTERNATIONAL, 620 words",10/24/18
Trump condemned attempts of attack with explosive packages to democrats in the USA.,"CE Noticias Financieras English, 333 words",10/24/18
"Jeff Zucker Blasts Donald Trump, Sarah Sanders After Bomb Sent To CNN HQ: Media Attacks \Matter\""""","Deadline, 446 words",10/24/18
"Sean Hannity Blasts Left's \Selective Moral Outrage\"" After Bomb Threats""","hollywoodreporter.com, NEWS; TAG, 517 words",10/24/18
